Date,Type,Block,Street,Story,Area,Model  ,LeaseBegin,LeaseRemaining(in months),ResalePrice
2022-08,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Premium Apartment,2003,964,560888
2022-12,5 ROOM,20,PUNGGOL CTRL,13 TO 15,110,Premium Apartment,2004,965,588000
2022-02,5 ROOM,20,PUNGGOL CTRL,16 TO 18,110,Premium Apartment,2004,975,545000
2022-05,5 ROOM,20,PUNGGOL CTRL,01 TO 03,110,Premium Apartment,2004,972,492000
2022-05,5 ROOM,18,EDGEFIELD PLAINS,16 TO 18,112,Premium Apartment,2003,967,513000
2022-11,5 ROOM,18,EDGEFIELD PLAINS,16 TO 18,110,Premium Apartment,2003,961,583888
2022-01,4 ROOM,21,PUNGGOL CTRL,04 TO 06,91,Premium Apartment,2003,971,460000
2022-07,4 ROOM,21,PUNGGOL CTRL,16 TO 18,91,Premium Apartment,2003,966,550000
2022-05,5 ROOM,21,PUNGGOL CTRL,01 TO 03,110,Premium Apartment,2003,967,515680
2022-08,5 ROOM,21,PUNGGOL CTRL,01 TO 03,110,Premium Apartment,2003,964,515000
2022-09,4 ROOM,21,PUNGGOL CTRL,16 TO 18,91,Premium Apartment,2003,963,488000
2022-09,5 ROOM,21,PUNGGOL CTRL,07 TO 09,110,Premium Apartment,2003,963,580000
2022-11,5 ROOM,21,PUNGGOL CTRL,10 TO 12,110,Premium Apartment,2003,961,598100
2022-01,5 ROOM,21,PUNGGOL CTRL,04 TO 06,110,Premium Apartment,2003,970,538000
2022-05,4 ROOM,21,PUNGGOL CTRL,07 TO 09,91,Premium Apartment,2003,966,488000
2022-10,5 ROOM,21,PUNGGOL CTRL,13 TO 15,110,Premium Apartment,2003,961,620000
2022-08,4 ROOM,21,PUNGGOL CTRL,07 TO 09,97,Premium Apartment,2003,963,516000
2022-12,5 ROOM,21,PUNGGOL CTRL,01 TO 03,110,Premium Apartment,2003,959,550000
2022-06,4 ROOM,21,PUNGGOL CTRL,01 TO 03,92,Premium Apartment,2003,965,498000
2022-01,5 ROOM,21,PUNGGOL CTRL,04 TO 06,110,Premium Apartment,2003,970,483888
2022-01,5 ROOM,21,PUNGGOL CTRL,04 TO 06,110,Premium Apartment,2003,969,550000
2022-07,5 ROOM,21,PUNGGOL CTRL,01 TO 03,110,Premium Apartment,2003,964,520000
2022-08,4 ROOM,21,PUNGGOL CTRL,07 TO 09,91,Premium Apartment,2003,963,490000
2022-09,4 ROOM,21,PUNGGOL CTRL,10 TO 12,91,Premium Apartment,2003,962,515000
2022-01,4 ROOM,6,PUNGGOL CTRL,04 TO 06,90,Premium Apartment,2005,985,450000
2022-04,5 ROOM,6,PUNGGOL CTRL,13 TO 15,110,Premium Apartment,2005,981,592000
2022-12,5 ROOM,6,PUNGGOL CTRL,01 TO 03,110,Premium Apartment,2005,974,520000
2022-12,5 ROOM,6,PUNGGOL CTRL,04 TO 06,110,Premium Apartment,2005,975,560000
2022-02,5 ROOM,6,PUNGGOL CTRL,01 TO 03,110,Premium Apartment,2005,984,475000
2022-07,4 ROOM,6,PUNGGOL CTRL,10 TO 12,91,Premium Apartment,2005,979,492000
2022-10,5 ROOM,6,PUNGGOL CTRL,04 TO 06,110,Premium Apartment,2005,976,555000
2022-12,4 ROOM,6,PUNGGOL CTRL,16 TO 18,90,Premium Apartment,2005,974,528000
2022-09,5 ROOM,6,PUNGGOL CTRL,16 TO 18,110,Premium Apartment,2005,977,640000
2022-01,4 ROOM,6,PUNGGOL CTRL,07 TO 09,90,Premium Apartment,2005,984,440000
2022-01,5 ROOM,6,PUNGGOL CTRL,04 TO 06,110,Premium Apartment,2005,985,518000
2022-02,5 ROOM,6,PUNGGOL CTRL,10 TO 12,110,Premium Apartment,2005,984,536000
2022-04,5 ROOM,6,PUNGGOL CTRL,13 TO 15,110,Premium Apartment,2005,982,575000
2022-04,5 ROOM,6,PUNGGOL CTRL,16 TO 18,110,Premium Apartment,2005,982,535000
2022-09,5 ROOM,6,PUNGGOL CTRL,16 TO 18,110,Premium Apartment,2005,977,600000
2022-01,5 ROOM,6,PUNGGOL CTRL,10 TO 12,110,Premium Apartment,2005,984,524000
